,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
11015,3.08407455,0.61681491,111,['1111'],FALSE,0.36664663,0.43332312,0.86664625,1.34639685,0.67319843,"(1, -1, -1, -1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0)",[5]
11016,2.99998711,0.9999957,110,"['1110', '0111', '0110', '0100', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1)","[3, 3, 3, 3, 3]"
11017,4.9882802,0.99765604,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1)",[5]
11018,2.81106353,0.93702118,110,"['0111', '0110', '0100', '0010']",TRUE,0.57864481,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0)","[3, 3, 3, 3]"
11019,4.47168593,0.89433719,110,['0110'],TRUE,0.77120259,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0)",[5]
11020,4.47168593,0.89433719,110,['0110'],TRUE,0.77120259,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0)",[5]
11021,2.81106353,0.93702118,110,"['1110', '0111', '0110', '0100']",TRUE,0.57864481,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[3, 3, 3, 3]"
11022,4.47168593,0.89433719,110,['0110'],TRUE,0.77120259,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0)",[5]
11023,2.81106353,0.93702118,110,"['1110', '0111', '0110', '0010']",TRUE,0.57864481,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)","[3, 3, 3, 3]"
11024,2.81106353,0.93702118,110,"['1110', '0110', '0100', '0010']",TRUE,0.57864481,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0)","[3, 3, 3, 3]"
11025,4.47168593,0.89433719,110,['0110'],TRUE,0.77120259,0.64998469,0.86664625,1.12199738,0.8975979,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",[5]
11026,4.99120263,0.99824053,110,['0110'],TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0)",[5]
11027,2.99706468,0.99902156,110,"['0111', '0110', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0)","[3, 3, 3]"
11028,2.99706468,0.99902156,110,"['0110', '0100', '0010']",TRUE,0.99130645,2.38327719,3.89990812,3.14159265,1.57079633,"(1, -1, -1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0)","[3, 3, 3]"
