,E,ratio,solutions,real_solutions,isOpt,Entropy,gamma_1,gamma_2,beta_1,beta_2,formula,MaxObj
9365,2.2791685,0.75972283,10,"['1110', '0011', '0010']",TRUE,0.31464383,0.61036172,1.20664831,0.82941022,0.52906136,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1, 0, 0)","[3, 3, 3]"
9366,2.43329287,0.81109762,10,"['0110', '0011', '0010', '0001']",TRUE,0.28680505,0.50431027,0.96023987,1.13309822,0.62422254,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, -1, 0, 0, 0)","[3, 3, 3, 3]"
9367,2.94057119,0.58811424,10,['0010'],TRUE,0.34509477,0.60838531,1.05791181,1.09988532,0.72800358,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",[5]
9368,2.89658368,0.57931674,10,['0010'],TRUE,0.29202253,0.55750183,0.92100701,1.11926004,0.67198342,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, -1, 0, 0, 0, 0)",[5]
9369,2.22609954,0.74203318,110,"['0110', '0010', '0001']",TRUE,0.30376758,2.49257884,4.62825234,0.88187871,0.60179802,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 0, 1, 0, 0, 0, 0)","[3, 3, 3]"
9370,2.93047216,0.97682405,11,"['1110', '0110', '0011', '0010', '0001']",TRUE,0.40768274,0.5680035,1.11860652,1.39673608,0.74834319,"(1, 0, -1, 0, 1, -1, 0, 0, 0, -1, 0, 0, 0, 0, 0)","[3, 3, 3, 3, 3]"
9371,3.23346314,0.64669263,10,['0010'],TRUE,0.45951838,3.85309452,1.20683522,1.48226952,0.87549194,"(1, 0, -1, 0, 1, -1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",[5]
9372,3.24541291,0.64908258,10,['0010'],TRUE,0.39992354,0.66095465,1.08592397,1.44321263,0.91123197,"(1, 0, -1, 0, 1, -1, 0, 0, -1, 0, 0, 0, 0, 0, 0)",[5]
9373,2.52326224,0.84108741,110,"['1110', '0110', '0010', '0001']",TRUE,0.3059321,0.5694525,1.05031792,1.12190624,0.52755088,"(1, 0, -1, 0, 1, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
9374,2.52326224,0.84108741,11,"['1110', '0011', '0010', '0001']",TRUE,0.30593211,0.56945268,1.05031831,1.12190669,0.52755078,"(1, 0, -1, 0, 1, -1, 0, -1, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3, 3]"
9375,3.24541291,0.64908258,10,['0010'],TRUE,0.39992362,0.66095547,1.08592432,1.44321288,0.91123209,"(1, 0, -1, 0, 1, -1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",[5]
9376,3.04625044,0.60925009,10,['0010'],TRUE,0.46503744,0.73378169,2.42386428,3.00176311,1.52891042,"(1, 0, -1, 0, 1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0)",[5]
9377,2.60992898,0.86997633,1,"['1110', '0010', '0001']",TRUE,0.4113135,0.68501243,1.41790902,0.76802709,0.49466421,"(1, 0, -1, 0, 1, -1, 1, 0, 0, 0, 0, 0, 0, 0, 0)","[3, 3, 3]"
